monophyletic_group_code	Genes	Homolog group	Multiple sequence alignment	Phylogenetic tree	Species
F5601_MSL_G1	BOX15_Mlig025567g6, BOX15_Mlig025567g2, BOX15_Mlig025567g5	167013_Msl.8257.faa	167013_Msl.8257.faa.msa	167013_Msl.8257.faa.msa.tree.	M. lignano
F5602_MSL_G1	BOX15_Mlig029125g2, BOX15_Mlig029125g3, BOX15_Mlig029125g1	167014_Msl.8258.faa	167014_Msl.8258.faa.msa	167014_Msl.8258.faa.msa.tree.	M. lignano
F5603_MSL_G1	BOX15_Mlig017159g1, BOX15_Mlig017159g3, BOX15_Mlig017159g2	167015_Msl.8259.faa	167015_Msl.8259.faa.msa	167015_Msl.8259.faa.msa.tree.	M. lignano
F5604_MSL_G1	BOX15_Mlig003230g1, BOX15_Mlig003230g6, BOX15_Mlig003230g7	167017_Msl.8261.faa	167017_Msl.8261.faa.msa	167017_Msl.8261.faa.msa.tree.	M. lignano
F5605_MSL_G1	BOX15_Mlig020480g2, BOX15_Mlig003230g3, BOX15_Mlig003230g5	167018_Msl.8262.faa	167018_Msl.8262.faa.msa	167018_Msl.8262.faa.msa.tree.	M. lignano
F5606_MSL_G1	BOX15_Mlig006260g4, BOX15_Mlig006260g3, BOX15_Mlig006260g5, BOX15_Mlig006260g2	167019_Msl.8263.faa	167019_Msl.8263.faa.msa	167019_Msl.8263.faa.msa.tree.	M. lignano
F5607_MSL_G1	BOX15_Mlig022769g4, BOX15_Mlig022769g2, BOX15_Mlig022769g1	167026_Msl.8270.faa	167026_Msl.8270.faa.msa	167026_Msl.8270.faa.msa.tree.	M. lignano
F5608_MSL_G1	BOX15_Mlig032080g1, BOX15_Mlig025419g2, BOX15_Mlig025419g1, BOX15_Mlig022769g3, BOX15_Mlig011599g1	167027_Msl.8271.faa	167027_Msl.8271.faa.msa	167027_Msl.8271.faa.msa.tree.	M. lignano
F5609_MSL_G1	BOX15_Mlig017567g1, BOX15_Mlig017567g2, BOX15_Mlig020617g1, BOX15_Mlig026784g1, BOX15_Mlig030900g2, BOX15_Mlig030900g1, BOX15_Mlig030900g3, BOX15_Mlig016298g1	167028_Msl.8272.faa	167028_Msl.8272.faa.msa	167028_Msl.8272.faa.msa.tree.	M. lignano
F5610_MSL_G1	BOX15_Mlig012716g1, BOX15_Mlig027496g1, BOX15_Mlig003800g1	167030_Msl.8274.faa	167030_Msl.8274.faa.msa	167030_Msl.8274.faa.msa.tree.	M. lignano
F5611_MSL_G1	BOX15_Mlig029960g1, BOX15_Mlig009279g2	167032_Msl.8276.faa	167032_Msl.8276.faa.msa	167032_Msl.8276.faa.msa.tree.	M. lignano
F5612_MSL_G1	BOX15_Mlig005099g2, BOX15_Mlig005099g1, BOX15_Mlig005099g3	167033_Msl.8277.faa	167033_Msl.8277.faa.msa	167033_Msl.8277.faa.msa.tree.	M. lignano
F5613_MSL_G1	BOX15_Mlig023967g1, BOX15_Mlig003449g1, BOX15_Mlig033120g1, BOX15_Mlig029767g1, BOX15_Mlig026131g1, BOX15_Mlig029767g2	167034_Msl.8278.faa	167034_Msl.8278.faa.msa	167034_Msl.8278.faa.msa.tree.	M. lignano
F5614_MSL_G1	BOX15_Mlig004725g1, BOX15_Mlig004725g3, BOX15_Mlig004725g2	167035_Msl.8279.faa	167035_Msl.8279.faa.msa	167035_Msl.8279.faa.msa.tree.	M. lignano
F5615_MSL_G1	BOX15_Mlig007619g1, BOX15_Mlig007619g3, BOX15_Mlig007619g2	167042_Msl.8286.faa	167042_Msl.8286.faa.msa	167042_Msl.8286.faa.msa.tree.	M. lignano
F5616_MSL_G1	BOX15_Mlig008766g1, BOX15_Mlig022894g1, BOX15_Mlig015613g1	167044_Msl.8288.faa	167044_Msl.8288.faa.msa	167044_Msl.8288.faa.msa.tree.	M. lignano
F5617_MSL_G1	BOX15_Mlig023665g2, BOX15_Mlig017382g4	167046_Msl.8290.faa	167046_Msl.8290.faa.msa	167046_Msl.8290.faa.msa.tree.	M. lignano
F5618_MSL_G1	BOX15_Mlig006421g2, BOX15_Mlig006421g3, BOX15_Mlig006421g1	167048_Msl.8292.faa	167048_Msl.8292.faa.msa	167048_Msl.8292.faa.msa.tree.	M. lignano
F5619_MSL_G1	BOX15_Mlig023086g2, BOX15_Mlig023086g5	167052_Msl.8296.faa	167052_Msl.8296.faa.msa	167052_Msl.8296.faa.msa.tree.	M. lignano
F5620_MSL_G1	BOX15_Mlig028030g2, BOX15_Mlig028030g1	167053_Msl.8297.faa	167053_Msl.8297.faa.msa	167053_Msl.8297.faa.msa.tree.	M. lignano
F5621_MSL_G1	BOX15_Mlig032832g2, BOX15_Mlig026141g1, BOX15_Mlig004580g2	167055_Msl.8299.faa	167055_Msl.8299.faa.msa	167055_Msl.8299.faa.msa.tree.	M. lignano
F5622_MSL_G1	BOX15_Mlig017382g5, BOX15_Mlig010958g1, BOX15_Mlig017382g1	167057_Msl.8301.faa	167057_Msl.8301.faa.msa	167057_Msl.8301.faa.msa.tree.	M. lignano
F5623_MSL_G1	BOX15_Mlig016509g1, BOX15_Mlig016509g2, BOX15_Mlig016509g3	167058_Msl.8302.faa	167058_Msl.8302.faa.msa	167058_Msl.8302.faa.msa.tree.	M. lignano
F5624_MSL_G1	BOX15_Mlig026961g1, BOX15_Mlig026961g2, BOX15_Mlig026961g3	167059_Msl.8303.faa	167059_Msl.8303.faa.msa	167059_Msl.8303.faa.msa.tree.	M. lignano
F5625_MSL_G1	BOX15_Mlig018138g2, BOX15_Mlig018138g3	167062_Msl.8306.faa	167062_Msl.8306.faa.msa	167062_Msl.8306.faa.msa.tree.	M. lignano
F5626_MSL_G1	BOX15_Mlig003627g1, BOX15_Mlig020908g1, BOX15_Mlig016926g1	167063_Msl.8307.faa	167063_Msl.8307.faa.msa	167063_Msl.8307.faa.msa.tree.	M. lignano
F5627_MSL_G1	BOX15_Mlig025479g2, BOX15_Mlig002675g1, BOX15_Mlig024436g1, BOX15_Mlig003934g1, BOX15_Mlig025479g1	167065_Msl.8309.faa	167065_Msl.8309.faa.msa	167065_Msl.8309.faa.msa.tree.	M. lignano
F5628_MSL_G1	BOX15_Mlig006903g2, BOX15_Mlig006903g3, BOX15_Mlig006903g1	167068_Msl.8312.faa	167068_Msl.8312.faa.msa	167068_Msl.8312.faa.msa.tree.	M. lignano
F5629_MSL_G1	BOX15_Mlig014460g1, BOX15_Mlig014460g2	167072_Msl.8316.faa	167072_Msl.8316.faa.msa	167072_Msl.8316.faa.msa.tree.	M. lignano
F5630_MSL_G1	BOX15_Mlig006719g1, BOX15_Mlig027817g1	167073_Msl.8317.faa	167073_Msl.8317.faa.msa	167073_Msl.8317.faa.msa.tree.	M. lignano
F5631_MSL_G1	BOX15_Mlig011336g1, BOX15_Mlig024808g1	167074_Msl.8318.faa	167074_Msl.8318.faa.msa	167074_Msl.8318.faa.msa.tree.	M. lignano
F5632_MSL_G1	BOX15_Mlig004220g1, BOX15_Mlig020365g1	167075_Msl.8319.faa	167075_Msl.8319.faa.msa	167075_Msl.8319.faa.msa.tree.	M. lignano
F5633_MSL_G1	BOX15_Mlig003487g1, BOX15_Mlig031037g1	167076_Msl.8320.faa	167076_Msl.8320.faa.msa	167076_Msl.8320.faa.msa.tree.	M. lignano
F5634_MSL_G1	BOX15_Mlig023462g1, BOX15_Mlig025132g1	167077_Msl.8321.faa	167077_Msl.8321.faa.msa	167077_Msl.8321.faa.msa.tree.	M. lignano
F5635_MSL_G1	BOX15_Mlig002009g5, BOX15_Mlig002009g2, BOX15_Mlig002009g9	167079_Msl.8323.faa	167079_Msl.8323.faa.msa	167079_Msl.8323.faa.msa.tree.	M. lignano
F5636_MSL_G1	BOX15_Mlig011351g1, BOX15_Mlig009300g1	167080_Msl.8324.faa	167080_Msl.8324.faa.msa	167080_Msl.8324.faa.msa.tree.	M. lignano
F5637_MSL_G1	BOX15_Mlig009471g1, BOX15_Mlig021538g1, BOX15_Mlig016902g1	167081_Msl.8325.faa	167081_Msl.8325.faa.msa	167081_Msl.8325.faa.msa.tree.	M. lignano
F5638_MSL_G1	BOX15_Mlig017549g1, BOX15_Mlig019013g1, BOX15_Mlig000899g1, BOX15_Mlig017549g2, BOX15_Mlig000899g2, BOX15_Mlig023433g1	167082_Msl.8326.faa	167082_Msl.8326.faa.msa	167082_Msl.8326.faa.msa.tree.	M. lignano
F5639_MSL_G1	BOX15_Mlig012599g1, BOX15_Mlig000173g1	167083_Msl.8327.faa	167083_Msl.8327.faa.msa	167083_Msl.8327.faa.msa.tree.	M. lignano
F5640_MSL_G1	BOX15_Mlig002296g1, BOX15_Mlig002296g3, BOX15_Mlig002296g4	167084_Msl.8328.faa	167084_Msl.8328.faa.msa	167084_Msl.8328.faa.msa.tree.	M. lignano
F5641_MSL_G1	BOX15_Mlig002296g2, BOX15_Mlig026236g2, BOX15_Mlig026236g1	167085_Msl.8329.faa	167085_Msl.8329.faa.msa	167085_Msl.8329.faa.msa.tree.	M. lignano
F5642_MSL_G1	BOX15_Mlig005009g1, BOX15_Mlig000064g3	167087_Msl.8331.faa	167087_Msl.8331.faa.msa	167087_Msl.8331.faa.msa.tree.	M. lignano
F5643_MSL_G1	BOX15_Mlig034511g1, BOX15_Mlig006630g2, BOX15_Mlig023815g1, BOX15_Mlig023815g2, BOX15_Mlig027703g1, BOX15_Mlig029139g1, BOX15_Mlig006630g1, BOX15_Mlig023815g3	167089_Msl.8333.faa	167089_Msl.8333.faa.msa	167089_Msl.8333.faa.msa.tree.	M. lignano
F5644_MSL_G1	BOX15_Mlig002009g1, BOX15_Mlig002009g4, BOX15_Mlig002009g8	167091_Msl.8335.faa	167091_Msl.8335.faa.msa	167091_Msl.8335.faa.msa.tree.	M. lignano
F5645_MSL_G1	BOX15_Mlig028412g3, BOX15_Mlig001963g1	167095_Msl.8339.faa	167095_Msl.8339.faa.msa	167095_Msl.8339.faa.msa.tree.	M. lignano
F5646_MSL_G1	BOX15_Mlig028412g1, BOX15_Mlig028412g4, BOX15_Mlig001963g2	167096_Msl.8340.faa	167096_Msl.8340.faa.msa	167096_Msl.8340.faa.msa.tree.	M. lignano
F5647_MSL_G1	BOX15_Mlig014420g2, BOX15_Mlig014420g1	167098_Msl.8342.faa	167098_Msl.8342.faa.msa	167098_Msl.8342.faa.msa.tree.	M. lignano
F5648_MSL_G1	BOX15_Mlig015248g1, BOX15_Mlig017394g1	167099_Msl.8343.faa	167099_Msl.8343.faa.msa	167099_Msl.8343.faa.msa.tree.	M. lignano
F5649_MSL_G1	BOX15_Mlig011996g2, BOX15_Mlig024989g2, BOX15_Mlig029794g1, BOX15_Mlig026332g2	167101_Msl.8345.faa	167101_Msl.8345.faa.msa	167101_Msl.8345.faa.msa.tree.	M. lignano
F5650_MSL_G1	BOX15_Mlig024588g1, BOX15_Mlig025039g1	167104_Msl.8348.faa	167104_Msl.8348.faa.msa	167104_Msl.8348.faa.msa.tree.	M. lignano
F5651_MSL_G1	BOX15_Mlig001339g4, BOX15_Mlig001339g1	167108_Msl.8352.faa	167108_Msl.8352.faa.msa	167108_Msl.8352.faa.msa.tree.	M. lignano
F5652_MSL_G1	BOX15_Mlig031302g2, BOX15_Mlig031302g3, BOX15_Mlig031302g1	167110_Msl.8354.faa	167110_Msl.8354.faa.msa	167110_Msl.8354.faa.msa.tree.	M. lignano
F5653_MSL_G1	BOX15_Mlig013943g3, BOX15_Mlig013943g1, BOX15_Mlig013943g4, BOX15_Mlig013943g2	167111_Msl.8355.faa	167111_Msl.8355.faa.msa	167111_Msl.8355.faa.msa.tree.	M. lignano
F5654_MSL_G1	BOX15_Mlig026063g1, BOX15_Mlig026063g3, BOX15_Mlig026063g2	167112_Msl.8356.faa	167112_Msl.8356.faa.msa	167112_Msl.8356.faa.msa.tree.	M. lignano
F5655_MSL_G1	BOX15_Mlig025147g3, BOX15_Mlig025147g2	167114_Msl.8358.faa	167114_Msl.8358.faa.msa	167114_Msl.8358.faa.msa.tree.	M. lignano
F5656_MSL_G1	BOX15_Mlig008272g3, BOX15_Mlig008272g1, BOX15_Mlig008272g2	167115_Msl.8359.faa	167115_Msl.8359.faa.msa	167115_Msl.8359.faa.msa.tree.	M. lignano
F5657_MSL_G1	BOX15_Mlig003609g3, BOX15_Mlig007188g1	167116_Msl.8360.faa	167116_Msl.8360.faa.msa	167116_Msl.8360.faa.msa.tree.	M. lignano
F5658_MSL_G1	BOX15_Mlig000596g1, BOX15_Mlig001281g3	167118_Msl.8362.faa	167118_Msl.8362.faa.msa	167118_Msl.8362.faa.msa.tree.	M. lignano
F5659_MSL_G1	BOX15_Mlig006172g3, BOX15_Mlig006172g2	167120_Msl.8364.faa	167120_Msl.8364.faa.msa	167120_Msl.8364.faa.msa.tree.	M. lignano
F5660_MSL_G1	BOX15_Mlig013519g2, BOX15_Mlig008793g2, BOX15_Mlig002142g2	167124_Msl.8368.faa	167124_Msl.8368.faa.msa	167124_Msl.8368.faa.msa.tree.	M. lignano
F5661_MSL_G1	BOX15_Mlig011297g1, BOX15_Mlig006755g1, BOX15_Mlig003174g1	167126_Msl.8370.faa	167126_Msl.8370.faa.msa	167126_Msl.8370.faa.msa.tree.	M. lignano
F5662_MSL_G1	BOX15_Mlig017905g1, BOX15_Mlig033854g1, BOX15_Mlig017905g2	167127_Msl.8371.faa	167127_Msl.8371.faa.msa	167127_Msl.8371.faa.msa.tree.	M. lignano
F5663_MSL_G1	BOX15_Mlig010965g3, BOX15_Mlig011572g2, BOX15_Mlig010965g2	167128_Msl.8372.faa	167128_Msl.8372.faa.msa	167128_Msl.8372.faa.msa.tree.	M. lignano
F5664_MSL_G1	BOX15_Mlig025679g1, BOX15_Mlig010965g1	167129_Msl.8373.faa	167129_Msl.8373.faa.msa	167129_Msl.8373.faa.msa.tree.	M. lignano
F5665_MSL_G1	BOX15_Mlig008793g1, BOX15_Mlig013519g1, BOX15_Mlig002142g3	167135_Msl.8379.faa	167135_Msl.8379.faa.msa	167135_Msl.8379.faa.msa.tree.	M. lignano
F5666_MSL_G1	BOX15_Mlig015515g1, BOX15_Mlig015266g1	167136_Msl.8380.faa	167136_Msl.8380.faa.msa	167136_Msl.8380.faa.msa.tree.	M. lignano
F5667_MSL_G1	BOX15_Mlig008044g2, BOX15_Mlig008044g1, BOX15_Mlig008044g3	167141_Msl.8385.faa	167141_Msl.8385.faa.msa	167141_Msl.8385.faa.msa.tree.	M. lignano
F5668_MSL_G1	BOX15_Mlig002551g1, BOX15_Mlig000373g4, BOX15_Mlig000373g1	167142_Msl.8386.faa	167142_Msl.8386.faa.msa	167142_Msl.8386.faa.msa.tree.	M. lignano
F5669_MSL_G1	BOX15_Mlig000373g5, BOX15_Mlig002551g2, BOX15_Mlig000373g3	167143_Msl.8387.faa	167143_Msl.8387.faa.msa	167143_Msl.8387.faa.msa.tree.	M. lignano
F5670_MSL_G1	BOX15_Mlig004579g2, BOX15_Mlig004579g1, BOX15_Mlig004579g3	167144_Msl.8388.faa	167144_Msl.8388.faa.msa	167144_Msl.8388.faa.msa.tree.	M. lignano
F5671_MSL_G1	BOX15_Mlig010599g3, BOX15_Mlig010599g1, BOX15_Mlig010599g2	167145_Msl.8389.faa	167145_Msl.8389.faa.msa	167145_Msl.8389.faa.msa.tree.	M. lignano
F5672_MSL_G1	BOX15_Mlig003425g4, BOX15_Mlig003425g3, BOX15_Mlig003425g1	167147_Msl.8391.faa	167147_Msl.8391.faa.msa	167147_Msl.8391.faa.msa.tree.	M. lignano
F5673_MSL_G1	BOX15_Mlig029707g1, BOX15_Mlig023826g1, BOX15_Mlig025153g1	167148_Msl.8392.faa	167148_Msl.8392.faa.msa	167148_Msl.8392.faa.msa.tree.	M. lignano
F5674_MSL_G1	BOX15_Mlig002110g2, BOX15_Mlig002110g4	167149_Msl.8393.faa	167149_Msl.8393.faa.msa	167149_Msl.8393.faa.msa.tree.	M. lignano
F5675_MSL_G1	BOX15_Mlig012678g3, BOX15_Mlig012678g4, BOX15_Mlig012678g2, BOX15_Mlig012678g1	167150_Msl.8394.faa	167150_Msl.8394.faa.msa	167150_Msl.8394.faa.msa.tree.	M. lignano
F5676_MSL_G1	BOX15_Mlig029632g1, BOX15_Mlig030349g1, BOX15_Mlig020679g1, BOX15_Mlig027880g1	167151_Msl.8395.faa	167151_Msl.8395.faa.msa	167151_Msl.8395.faa.msa.tree.	M. lignano
F5677_MSL_G1	BOX15_Mlig021269g1, BOX15_Mlig017685g2	167153_Msl.8397.faa	167153_Msl.8397.faa.msa	167153_Msl.8397.faa.msa.tree.	M. lignano
F5678_MSL_G1	BOX15_Mlig032386g2, BOX15_Mlig024538g1, BOX15_Mlig004945g3	167155_Msl.8399.faa	167155_Msl.8399.faa.msa	167155_Msl.8399.faa.msa.tree.	M. lignano
F5679_MSL_G1	BOX15_Mlig026108g1, BOX15_Mlig013702g1, BOX15_Mlig023476g1	167156_Msl.8400.faa	167156_Msl.8400.faa.msa	167156_Msl.8400.faa.msa.tree.	M. lignano
F5680_MSL_G1	BOX15_Mlig027357g1, BOX15_Mlig029848g1	167157_Msl.8401.faa	167157_Msl.8401.faa.msa	167157_Msl.8401.faa.msa.tree.	M. lignano
F5681_MSL_G1	BOX15_Mlig031749g3, BOX15_Mlig031749g2	167160_Msl.8404.faa	167160_Msl.8404.faa.msa	167160_Msl.8404.faa.msa.tree.	M. lignano
F5682_MSL_G1	BOX15_Mlig001629g3, BOX15_Mlig029569g1, BOX15_Mlig001629g1, BOX15_Mlig024384g1, BOX15_Mlig001629g2	167162_Msl.8406.faa	167162_Msl.8406.faa.msa	167162_Msl.8406.faa.msa.tree.	M. lignano
F5683_MSL_G1	BOX15_Mlig030375g2, BOX15_Mlig030375g1, BOX15_Mlig009123g2, BOX15_Mlig009123g1	167164_Msl.8408.faa	167164_Msl.8408.faa.msa	167164_Msl.8408.faa.msa.tree.	M. lignano
F5684_MSL_G1	BOX15_Mlig032225g2, BOX15_Mlig032225g1, BOX15_Mlig009236g2	167165_Msl.8409.faa	167165_Msl.8409.faa.msa	167165_Msl.8409.faa.msa.tree.	M. lignano
F5685_MSL_G1	BOX15_Mlig023345g4, BOX15_Mlig023345g2, BOX15_Mlig023345g1	167168_Msl.8412.faa	167168_Msl.8412.faa.msa	167168_Msl.8412.faa.msa.tree.	M. lignano
F5686_MSL_G1	BOX15_Mlig032959g1, BOX15_Mlig009763g1, BOX15_Mlig032959g2	167169_Msl.8413.faa	167169_Msl.8413.faa.msa	167169_Msl.8413.faa.msa.tree.	M. lignano
F5687_MSL_G1	BOX15_Mlig021145g3, BOX15_Mlig010304g1, BOX15_Mlig010304g3, BOX15_Mlig010304g2	167170_Msl.8414.faa	167170_Msl.8414.faa.msa	167170_Msl.8414.faa.msa.contree.tree.	M. lignano
F5688_MSL_G1	BOX15_Mlig020889g1, BOX15_Mlig020889g3, BOX15_Mlig020889g2	167173_Msl.8417.faa	167173_Msl.8417.faa.msa	167173_Msl.8417.faa.msa.tree.	M. lignano
F5689_MSL_G1	BOX15_Mlig016689g2, BOX15_Mlig014159g1	167175_Msl.8419.faa	167175_Msl.8419.faa.msa	167175_Msl.8419.faa.msa.tree.	M. lignano
F5690_MSL_G1	BOX15_Mlig030341g1, BOX15_Mlig030341g2	167179_Msl.8423.faa	167179_Msl.8423.faa.msa	167179_Msl.8423.faa.msa.tree.	M. lignano
F5691_MSL_G1	BOX15_Mlig022390g2, BOX15_Mlig022390g1, BOX15_Mlig002784g1, BOX15_Mlig022390g3	167190_Msl.8434.faa	167190_Msl.8434.faa.msa	167190_Msl.8434.faa.msa.tree.	M. lignano
F5692_MSL_G1	BOX15_Mlig009925g1, BOX15_Mlig009925g2, BOX15_Mlig006362g1	167192_Msl.8436.faa	167192_Msl.8436.faa.msa	167192_Msl.8436.faa.msa.tree.	M. lignano
F5693_MSL_G1	BOX15_Mlig026917g1, BOX15_Mlig011028g1, BOX15_Mlig011028g2	167193_Msl.8437.faa	167193_Msl.8437.faa.msa	167193_Msl.8437.faa.msa.tree.	M. lignano
F5694_MSL_G1	BOX15_Mlig025041g1, BOX15_Mlig032667g1	167194_Msl.8438.faa	167194_Msl.8438.faa.msa	167194_Msl.8438.faa.msa.tree.	M. lignano
F5695_MSL_G1	BOX15_Mlig007638g2, BOX15_Mlig007638g3, BOX15_Mlig007638g1	167198_Msl.8442.faa	167198_Msl.8442.faa.msa	167198_Msl.8442.faa.msa.tree.	M. lignano
F5696_MSL_G1	BOX15_Mlig006975g3, BOX15_Mlig006975g2, BOX15_Mlig006975g1	167199_Msl.8443.faa	167199_Msl.8443.faa.msa	167199_Msl.8443.faa.msa.tree.	M. lignano
F5697_MSL_G1	BOX15_Mlig002392g2, BOX15_Mlig002392g4, BOX15_Mlig002392g1, BOX15_Mlig015412g1, BOX15_Mlig002392g10	167200_Msl.8444.faa	167200_Msl.8444.faa.msa	167200_Msl.8444.faa.msa.tree.	M. lignano
F5698_MSL_G1	BOX15_Mlig027734g2, BOX15_Mlig001753g3	167201_Msl.8445.faa	167201_Msl.8445.faa.msa	167201_Msl.8445.faa.msa.tree.	M. lignano
F5699_MSL_G1	BOX15_Mlig029592g2, BOX15_Mlig033986g1	167202_Msl.8446.faa	167202_Msl.8446.faa.msa	167202_Msl.8446.faa.msa.tree.	M. lignano
F5700_MSL_G1	BOX15_Mlig032548g1, BOX15_Mlig032548g2, BOX15_Mlig012512g1	167204_Msl.8448.faa	167204_Msl.8448.faa.msa	167204_Msl.8448.faa.msa.tree.	M. lignano
F5701_MSL_G1	BOX15_Mlig029717g1, BOX15_Mlig029717g3, BOX15_Mlig029717g4	167205_Msl.8449.faa	167205_Msl.8449.faa.msa	167205_Msl.8449.faa.msa.tree.	M. lignano
F5702_MSL_G1	BOX15_Mlig029717g2, BOX15_Mlig029717g6, BOX15_Mlig022752g2	167206_Msl.8450.faa	167206_Msl.8450.faa.msa	167206_Msl.8450.faa.msa.tree.	M. lignano
F5703_MSL_G1	BOX15_Mlig013817g1, BOX15_Mlig013817g4, BOX15_Mlig013817g2, BOX15_Mlig013817g3	167207_Msl.8451.faa	167207_Msl.8451.faa.msa	167207_Msl.8451.faa.msa.tree.	M. lignano
F5704_MSL_G1	BOX15_Mlig032388g2, BOX15_Mlig032388g1, BOX15_Mlig032388g3	167209_Msl.8453.faa	167209_Msl.8453.faa.msa	167209_Msl.8453.faa.msa.tree.	M. lignano
F5705_MSL_G1	BOX15_Mlig009830g1, BOX15_Mlig009830g2, BOX15_Mlig009830g3	167211_Msl.8455.faa	167211_Msl.8455.faa.msa	167211_Msl.8455.faa.msa.tree.	M. lignano
F5706_MSL_G1	BOX15_Mlig023153g1, BOX15_Mlig023153g3, BOX15_Mlig023153g2	167215_Msl.8459.faa	167215_Msl.8459.faa.msa	167215_Msl.8459.faa.msa.tree.	M. lignano
F5707_MSL_G1	BOX15_Mlig001223g2, BOX15_Mlig021951g2, BOX15_Mlig004275g2	167216_Msl.8460.faa	167216_Msl.8460.faa.msa	167216_Msl.8460.faa.msa.tree.	M. lignano
F5708_MSL_G1	BOX15_Mlig001223g1, BOX15_Mlig004275g1, BOX15_Mlig021951g1	167217_Msl.8461.faa	167217_Msl.8461.faa.msa	167217_Msl.8461.faa.msa.tree.	M. lignano
F5709_MSL_G1	BOX15_Mlig010047g1, BOX15_Mlig011419g1, BOX15_Mlig010047g2	167218_Msl.8462.faa	167218_Msl.8462.faa.msa	167218_Msl.8462.faa.msa.tree.	M. lignano
F5710_MSL_G1	BOX15_Mlig003483g1, BOX15_Mlig024423g1, BOX15_Mlig024423g2	167219_Msl.8463.faa	167219_Msl.8463.faa.msa	167219_Msl.8463.faa.msa.tree.	M. lignano
F5711_MSL_G1	BOX15_Mlig017453g3, BOX15_Mlig017453g1, BOX15_Mlig017453g2	167221_Msl.8465.faa	167221_Msl.8465.faa.msa	167221_Msl.8465.faa.msa.tree.	M. lignano
F5712_MSL_G1	BOX15_Mlig031835g1, BOX15_Mlig031835g2, BOX15_Mlig031835g3	167222_Msl.8466.faa	167222_Msl.8466.faa.msa	167222_Msl.8466.faa.msa.tree.	M. lignano
F5713_MSL_G1	BOX15_Mlig013777g1, BOX15_Mlig030639g1, BOX15_Mlig001051g3, BOX15_Mlig023631g1, BOX15_Mlig033038g2, BOX15_Mlig033038g1, BOX15_Mlig001381g2	167225_Msl.8469.faa	167225_Msl.8469.faa.msa	167225_Msl.8469.faa.msa.tree.	M. lignano
F5714_MSL_G1	BOX15_Mlig023721g2, BOX15_Mlig023721g1	167226_Msl.8470.faa	167226_Msl.8470.faa.msa	167226_Msl.8470.faa.msa.tree.	M. lignano
F5715_MSL_G1	BOX15_Mlig006757g1, BOX15_Mlig001157g2, BOX15_Mlig002712g1, BOX15_Mlig001157g1	167227_Msl.8471.faa	167227_Msl.8471.faa.msa	167227_Msl.8471.faa.msa.tree.	M. lignano
F5716_MSL_G1	BOX15_Mlig001987g1, BOX15_Mlig012621g1, BOX15_Mlig023232g1	167229_Msl.8473.faa	167229_Msl.8473.faa.msa	167229_Msl.8473.faa.msa.tree.	M. lignano
F5717_MSL_G1	BOX15_Mlig022150g1, BOX15_Mlig014676g1, BOX15_Mlig027430g1	167230_Msl.8474.faa	167230_Msl.8474.faa.msa	167230_Msl.8474.faa.msa.tree.	M. lignano
F5718_MSL_G1	BOX15_Mlig010682g1, BOX15_Mlig006151g2, BOX15_Mlig006151g1, BOX15_Mlig015775g1	167233_Msl.8477.faa	167233_Msl.8477.faa.msa	167233_Msl.8477.faa.msa.tree.	M. lignano
F5719_MSL_G1	BOX15_Mlig001939g1, BOX15_Mlig013043g1, BOX15_Mlig030482g1, BOX15_Mlig013043g2	167235_Msl.8479.faa	167235_Msl.8479.faa.msa	167235_Msl.8479.faa.msa.tree.	M. lignano
F5721_MSL_G1	BOX15_Mlig029246g3, BOX15_Mlig029246g1, BOX15_Mlig029246g2	167245_Msl.8489.faa	167245_Msl.8489.faa.msa	167245_Msl.8489.faa.msa.tree.	M. lignano
F5722_MSL_G1	BOX15_Mlig015656g1, BOX15_Mlig015656g2	167246_Msl.8490.faa	167246_Msl.8490.faa.msa	167246_Msl.8490.faa.msa.tree.	M. lignano
F5723_MSL_G1	BOX15_Mlig016606g1, BOX15_Mlig026436g4, BOX15_Mlig017364g1, BOX15_Mlig021348g1, BOX15_Mlig026436g1, BOX15_Mlig026436g2	167251_Msl.8495.faa	167251_Msl.8495.faa.msa	167251_Msl.8495.faa.msa.tree.	M. lignano
F5724_MSL_G1	BOX15_Mlig016680g1, BOX15_Mlig021366g1	167265_Msl.8509.faa	167265_Msl.8509.faa.msa	167265_Msl.8509.faa.msa.tree.	M. lignano
F5725_MSL_G1	BOX15_Mlig000382g1, BOX15_Mlig000382g3, BOX15_Mlig000382g2	167272_Msl.8516.faa	167272_Msl.8516.faa.msa	167272_Msl.8516.faa.msa.tree.	M. lignano
F5726_MSL_G1	BOX15_Mlig000184g5, BOX15_Mlig000184g4	167273_Msl.8517.faa	167273_Msl.8517.faa.msa	167273_Msl.8517.faa.msa.tree.	M. lignano
F5727_MSL_G1	BOX15_Mlig014338g1, BOX15_Mlig014338g3	167274_Msl.8518.faa	167274_Msl.8518.faa.msa	167274_Msl.8518.faa.msa.tree.	M. lignano
F5728_MSL_G1	BOX15_Mlig008134g1, BOX15_Mlig031913g1, BOX15_Mlig001111g1	167278_Msl.8522.faa	167278_Msl.8522.faa.msa	167278_Msl.8522.faa.msa.tree.	M. lignano
F5729_MSL_G1	BOX15_Mlig004931g1, BOX15_Mlig004931g3, BOX15_Mlig004931g2	167280_Msl.8524.faa	167280_Msl.8524.faa.msa	167280_Msl.8524.faa.msa.tree.	M. lignano
