Family	Model	Degrees of freedom	LnL	# sites (BEB pp > 0.95)	# sites (BEB pp > 0.99)	dN	dS	dN/dS	Num. sites (BEB pp > 0.95)	Num. sites (BEB pp > 0.99)
F62947_MLIG_G1	M1	6.0	-2264.703958	0	0	15.6628	19.0871	0.8206		
F62947_MLIG_G1	M2	8.0	-2262.646452	0	0	21.0231	6.3587	3.3062	0.0	0.0
F130055_SMED_G1	M2	7.0	-3504.7586	0	0	0.0	0.0	0.0857	0.0	0.0
F130055_SMED_G1	M1	5.0	-3504.758606	0	0	0.0018	0.0204	0.0857		
F57952_MLIG_G1	M2	7.0	-3619.438462	0	0	1.2928	0.0219	59.1013	130.0	95.0
F57952_MLIG_G1	M1	5.0	-3775.434462	0	0	0.0875	0.2526	0.3464		
F10728_SMED_G1	M1	5.0	-321.95734	0	0	0.0	0.0	0.0		
F10728_SMED_G1	M2	7.0	-321.957359	0	0	0.0	0.0	0.195	0.0	0.0
F36240_SMED_G1	M1	5.0	-433.188121	0	0	1.6018	1.6018	1.0		
F36240_SMED_G1	M2	7.0	-432.918023	0	0	1.7555	0.5924	2.9633	1.0	0.0
F8403_MLIG_G1	M2	8.0	-1667.4644	0	0	0.0	0.0053	0.0	0.0	0.0
F8403_MLIG_G1	M1	6.0	-1667.464332	0	0	0.0	0.0053	0.0		
F118566_HDIM_G1	M1	5.0	-54.925981	0	0	0.0	0.0	0.0		
F118566_HDIM_G1	M2	7.0	-54.925987	0	0	0.0	0.0	0.7752	0.0	0.0
F10796_SMED_G1	M1	6.0	-1637.850729	0	0	5.8791	84.0803	0.0699		
F10796_SMED_G1	M2	8.0	-1638.093166	0	0	0.0	0.0	1.4534	0.0	0.0
F96551_MLIG_G1	M1	5.0	-4089.026528	0	0	0.0259	0.0904	0.2864		
F96551_MLIG_G1	M2	7.0	-3962.9446	0	0	1.2967	0.0173	74.933	39.0	34.0
F122632_MLIG_G1	M1	5.0	-1266.838847	0	0	0.0592	0.1692	0.35		
F122632_MLIG_G1	M2	7.0	-1206.608609	0	0	3.0721	0.0174	176.8868	19.0	15.0
F50571_MLIG_G1	M2	14.0	-1364.397605	0	0	0.0	0.0	1.0	0.0	0.0
F50571_MLIG_G1	M1	12.0	-1360.750654	0	0	0.0	0.0	0.2095		
F74715_MLIG_G1	M1	10.0	-1063.687083	0	0	0.0	0.0	0.8663		
F74715_MLIG_G1	M2	12.0	-1068.656126	0	0	0.0	0.0	0.0217	0.0	0.0
F8864_MLIG_G1	M2	8.0	-1717.061154	0	0	0.0	0.0	30.9619	4.0	0.0
F8864_MLIG_G1	M1	6.0	-1758.309413	0	0	0.0	0.0	0.219		
F48750_MLIG_G1	M1	7.0	-996.269466	0	0	0.0	0.0	0.292		
F48750_MLIG_G1	M2	9.0	-996.015185	0	0	0.0	0.0	0.5059	0.0	0.0
F3840_MLIG_G1	M2	7.0	-4245.438366	0	0	0.0002	0.0044	0.041	0.0	0.0
F3840_MLIG_G1	M1	5.0	-4245.43837	0	0	0.0004	0.0094	0.041		
F126242_SMED_G1	M1	5.0	-894.269609	0	0	11.502	42.7857	0.2688		
F126242_SMED_G1	M2	7.0	-893.618452	0	0	21.3486	3.0533	6.9921	37.0	0.0
F5093_HDIM_G1	M1	20.0	-386.22134	0	0	0.114	0.114	1.0		
F5093_HDIM_G1	M2	22.0	-386.22121	0	0	16.6667	16.6667	1.0	0.0	0.0
F80780_SMAR_G3	M1	6.0	-3570.884905	0	0	0.0053	0.0133	0.3984		
F80780_SMAR_G3	M2	8.0	-3570.8849	0	0	0.0053	0.0133	0.3984	0.0	0.0
F732_SMAR_G1	M2	7.0	-529.777915	0	0	0.0	0.0	137.5377	0.0	0.0
F732_SMAR_G1	M1	5.0	-529.91511	0	0	0.0004	0.0004	1.0		
F50074_MLIG_G1	M2	8.0	-2313.016015	0	0	0.0004	0.0033	0.1204	0.0	0.0
F50074_MLIG_G1	M1	6.0	-2313.016024	0	0	0.0004	0.0033	0.1204		
F114743_MLIG_G1	M2	7.0	-379.521385	0	0	0.0063	0.0385	0.163	0.0	0.0
F114743_MLIG_G1	M1	5.0	-379.518511	0	0	0.0062	0.0386	0.1609		
F28202_SJAP_G1	M2	14.0	-134.008808	0	0	0.0	0.0	0.7425	0.0	0.0
F28202_SJAP_G1	M1	12.0	-134.008802	0	0	0.0	0.0	0.6666		
F69303_MLIG_G1	M2	7.0	-3114.351454	0	0	0.0	0.0	0.6534	0.0	0.0
F69303_MLIG_G1	M1	5.0	-3114.351462	0	0	0.0	0.0	0.6534		
F7249_MLIG_G1	M1	6.0	-950.061189	0	0	0.0006	0.0082	0.0726		
F7249_MLIG_G1	M2	8.0	-950.061185	0	0	0.0006	0.0082	0.0726	0.0	0.0
F68442_MLIG_G1	M1	18.0	-2440.736724	0	0	0.0	0.0	0.7126		
F68442_MLIG_G1	M2	20.0	-2440.736724	0	0	0.0	0.0	0.7126	0.0	0.0
F117022_SMAT_G1	M2	7.0	-2132.832037	0	0	0.0	0.0	998.9967	0.0	0.0
F117022_SMAT_G1	M1	5.0	-2133.195672	0	0	0.0006	0.0006	1.0		
F45076_MLIG_G1	M1	7.0	-1104.724687	0	0	0.0	0.0	0.0		
F45076_MLIG_G1	M2	9.0	-1104.724445	0	0	0.0	0.0	0.0	0.0	0.0
F42082_MLIG_G1	M1	7.0	-2728.937275	0	0	16.296	18.0084	0.9049		
F42082_MLIG_G1	M2	9.0	-2728.937265	0	0	0.0	0.0	0.9049	0.0	0.0
F50475_MLIG_G1	M1	6.0	-1563.171428	0	0	0.0	0.0	1.0		
F50475_MLIG_G1	M2	8.0	-1563.004048	0	0	0.0	0.0	217.5607	0.0	0.0
F75810_MLIG_G1	M2	7.0	-2256.965317	0	0	0.0	0.0	0.1093	0.0	0.0
F75810_MLIG_G1	M1	5.0	-2256.965324	0	0	0.0024	0.0218	0.1093		
F52405_MLIG_G1	M1	7.0	-1495.152856	0	0	0.0	0.0	0.831		
F52405_MLIG_G1	M2	9.0	-1495.152855	0	0	0.0	0.0	0.831	0.0	0.0
F75750_SMED_G1	M1	5.0	-1152.892685	0	0	0.0	0.0	0.1468		
F75750_SMED_G1	M2	7.0	-1152.911376	0	0	0.0	0.0	0.1421	0.0	0.0
F61508_MLIG_G1	M1	6.0	-3205.269969	0	0	0.0002	0.0094	0.0209		
F61508_MLIG_G1	M2	8.0	-3205.269956	0	0	0.0002	0.0093	0.0209	0.0	0.0
F35891_SMED_G1	M1	5.0	-1732.50887	0	0	0.0075	0.0421	0.1781		
F35891_SMED_G1	M2	7.0	-1732.508859	0	0	0.0023	0.0129	0.1781	0.0	0.0
F74002_MLIG_G1	M2	8.0	-2770.933087	0	0	0.0035	0.0972	0.0363	0.0	0.0
F74002_MLIG_G1	M1	6.0	-2770.933232	0	0	0.0035	0.0972	0.0363		
F47712_MLIG_G1	M2	7.0	-686.229315	0	0	0.2007	0.03	6.687	0.0	0.0
F47712_MLIG_G1	M1	5.0	-687.552378	0	0	0.0019	0.0393	0.0476		
F83584_ECAN_G1	M1	5.0	-342.513808	0	0	0.0	0.0	0.0		
F83584_ECAN_G1	M2	7.0	-342.513797	0	0	0.0	0.0	0.1129	0.0	0.0
F127811_MLIG_G1	M1	6.0	-1822.067558	0	0	0.0078	0.0513	0.152		
F127811_MLIG_G1	M2	8.0	-1822.067538	0	0	0.0078	0.0513	0.152	0.0	0.0
F46534_HMIC_G1	M1	5.0	-585.777441	0	0	0.0048	0.0095	0.5045		
F46534_HMIC_G1	M2	7.0	-585.77744	0	0	0.0084	0.0167	0.5045	0.0	0.0
F65855_MLIG_G1	M2	8.0	-1158.881856	0	0	0.0	0.0	0.0916	0.0	0.0
F65855_MLIG_G1	M1	6.0	-1158.881858	0	0	0.0	0.0	0.0916		
F4413_MLIG_G1	M2	8.0	-2116.760183	0	0	0.0	0.0	0.0451	0.0	0.0
F4413_MLIG_G1	M1	6.0	-2116.760187	0	0	0.0	0.0	0.0451		
F63990_HMIC_G1	M2	7.0	-627.268822	0	0	0.0	0.0	45.6462	1.0	1.0
F63990_HMIC_G1	M1	5.0	-631.190829	0	0	0.0039	0.0039	1.0		
F88054_MLIG_G1	M2	8.0	-2275.260248	0	0	0.0	0.0	1.0	0.0	0.0
F88054_MLIG_G1	M1	6.0	-2275.237246	0	0	0.0	0.0	1.0		
F67528_MLIG_G1	M1	5.0	-2795.98376	0	0	0.0006	0.0041	0.1452		
F67528_MLIG_G1	M2	7.0	-2790.692983	0	0	0.0	0.0	1.4891	0.0	0.0
F3604_MLIG_G1	M1	12.0	-556.337766	0	0	0.0	0.0	0.0802		
F3604_MLIG_G1	M2	14.0	-556.337747	0	0	0.0	0.0	0.0802	0.0	0.0
F60147_SMED_G1	M1	5.0	-617.295737	0	0	0.0	0.0	0.0		
F60147_SMED_G1	M2	7.0	-617.289459	0	0	0.0	0.0	0.0	0.0	0.0
F53152_MLIG_G1	M2	8.0	-247.750992	0	0	0.0	0.0	3.2022	0.0	0.0
F53152_MLIG_G1	M1	6.0	-248.1705	0	0	0.0	0.0	1.0		
F36025_TSAG_G1	M2	7.0	-521.214706	0	0	0.0111	0.0183	0.605	0.0	0.0
F36025_TSAG_G1	M1	5.0	-521.214707	0	0	0.0	0.0	0.605		
F19753_MLIG_G1	M1	12.0	-2446.197185	0	0	0.0	0.0	0.9081		
F19753_MLIG_G1	M2	14.0	-2448.679456	0	0	0.0283	0.0283	1.0	0.0	0.0
F28240_MLIG_G1	M1	6.0	-771.549334	0	0	0.0	0.0	0.2474		
F28240_MLIG_G1	M2	8.0	-751.134101	0	0	0.0	0.0	19.227	14.0	6.0
F8716_SMAT_G2	M1	5.0	-3216.017708	0	0	0.0	0.0013	0.0		
F8716_SMAT_G2	M2	7.0	-3216.017686	0	0	0.0	0.0	0.0	0.0	0.0
F45111_MLIG_G1	M1	5.0	-1519.000235	0	0	0.021	0.1487	0.1411		
F45111_MLIG_G1	M2	7.0	-1456.737402	0	0	0.3895	0.0055	70.7635	15.0	11.0
F103738_MCOR_G1	M1	5.0	-604.133213	0	0	0.0216	0.0803	0.2687		
F103738_MCOR_G1	M2	7.0	-595.535444	0	0	0.0793	0.0396	2.0041	2.0	0.0
F64254_ECAN_G1	M1	7.0	-302.172353	0	0	0.0	0.0	1.0		
F64254_ECAN_G1	M2	9.0	-298.598678	0	0	0.0	0.0	154.5604	2.0	0.0
F77226_MLIG_G1	M2	9.0	-2513.183969	0	0	0.0	0.0	0.8513	0.0	0.0
F77226_MLIG_G1	M1	7.0	-2513.183969	0	0	0.0	0.0	0.8513		
F1784_SMAN_G1	M2	7.0	-1012.374894	0	0	0.0	0.0	0.0	0.0	0.0
F1784_SMAN_G1	M1	5.0	-1012.375151	0	0	0.0	0.0	0.1912		
F49618_MLIG_G1	M2	7.0	-808.71689	0	0	0.0	0.0	999.0	0.0	0.0
F49618_MLIG_G1	M1	5.0	-809.026082	0	0	0.0	0.0	1.0		
F6564_TREG_G1	M2	7.0	-353.115618	0	0	0.0	0.0	0.6676	0.0	0.0
F6564_TREG_G1	M1	5.0	-353.115619	0	0	0.0	0.0	0.3448		
F105782_TREG_G1	M2	12.0	-281.442481	0	0	0.0	0.0	1.6276	0.0	0.0
F105782_TREG_G1	M1	10.0	-282.345163	0	0	0.0	0.0	0.6438		
F105304_HMIC_G1	M2	7.0	-2311.678902	0	0	0.0	0.0	0.0	0.0	0.0
F105304_HMIC_G1	M1	5.0	-2311.679179	0	0	0.0	0.0	0.0		
F63146_MLIG_G1	M1	6.0	-993.050468	0	0	0.0	0.0	0.0525		
F63146_MLIG_G1	M2	8.0	-993.050467	0	0	0.0	0.0	0.0525	0.0	0.0
F124145_MLIG_G1	M2	7.0	-1190.046615	0	0	0.0109	0.0141	0.7752	0.0	0.0
F124145_MLIG_G1	M1	5.0	-1191.789489	0	0	0.0037	0.0109	0.3408		
F76503_SMED_G1	M2	7.0	-1008.866958	0	0	4.2757	0.7075	6.0435	2.0	0.0
F76503_SMED_G1	M1	5.0	-1008.989809	0	0	1.7313	1.9241	0.8998		
F6382_TSAG_G1	M1	5.0	-566.80233	0	0	0.016	0.0318	0.5031		
F6382_TSAG_G1	M2	7.0	-566.071491	0	0	0.0208	0.028	0.7433	0.0	0.0
F76866_MLIG_G1	M1	6.0	-3940.939575	0	0	4.4484	72.7191	0.0612		
F76866_MLIG_G1	M2	8.0	-3940.93859	0	0	0.0	0.0	0.0612	0.0	0.0
F55517_MLIG_G1	M1	6.0	-3126.462404	0	0	0.0002	0.0277	0.0074		
F55517_MLIG_G1	M2	8.0	-3126.462316	0	0	0.0002	0.0277	0.0074	0.0	0.0
F28115_MLIG_G1	M2	9.0	-2981.524169	0	0	0.0	0.0	0.3025	0.0	0.0
F28115_MLIG_G1	M1	7.0	-2984.084564	0	0	0.0	0.0	0.1964		
F83608_SMED_G1	M1	14.0	-415.417183	0	0	0.0391	0.0391	1.0		
F83608_SMED_G1	M2	16.0	-413.401089	0	0	0.0	0.0	2.1797	0.0	0.0
F63673_SMED_G1	M1	14.0	-306.174744	0	0	0.0	0.0	1.0		
F63673_SMED_G1	M2	16.0	-306.140125	0	0	0.0	0.0	1.0	0.0	0.0
F65240_MLIG_G1	M2	7.0	-481.801111	0	0	0.0	0.0	0.0	0.0	0.0
F65240_MLIG_G1	M1	5.0	-481.801178	0	0	0.0	0.0048	0.0		
F114001_MLIG_G1	M1	6.0	-641.107397	0	0	0.0	0.0	0.4479		
F114001_MLIG_G1	M2	8.0	-613.57388	0	0	0.0	0.0	182.1843	35.0	24.0
F7492_MLIG_G1	M1	5.0	-1651.066211	0	0	0.007	0.0255	0.2759		
F7492_MLIG_G1	M2	7.0	-1651.066207	0	0	0.0081	0.0293	0.2759	0.0	0.0
F117823_MLIG_G1	M1	12.0	-3090.846659	0	0	0.0	0.0	0.0719		
F117823_MLIG_G1	M2	14.0	-3090.84666	0	0	0.0	0.0	0.0719	0.0	0.0
F46793_MLIG_G1	M2	8.0	-2078.455435	0	0	17.9967	11.0363	1.6307	0.0	0.0
F46793_MLIG_G1	M1	6.0	-2078.785851	0	0	0.0	0.0	0.9165		
F40635_MLIG_G1	M2	8.0	-1536.313075	0	0	0.0021	0.0121	0.1712	0.0	0.0
F40635_MLIG_G1	M1	6.0	-1536.313195	0	0	0.0021	0.0121	0.1718		
F41176_MLIG_G1	M2	7.0	-5366.18632	0	0	0.0001	0.0002	0.4307	0.0	0.0
F41176_MLIG_G1	M1	5.0	-5364.822969	0	0	0.0	0.0	0.0		
F7915_OVIV_G1	M2	7.0	-417.675623	0	0	0.0	0.0109	0.0	0.0	0.0
F7915_OVIV_G1	M1	5.0	-417.675651	0	0	0.0	0.0	0.0		
F65596_MLIG_G1	M2	7.0	-1070.046835	0	0	0.0024	0.0052	0.468	0.0	0.0
F65596_MLIG_G1	M1	5.0	-1070.087507	0	0	0.0007	0.0027	0.2622		
F121142_TASI_G1	M2	7.0	-1866.55324	0	0	0.0973	0.0055	17.6264	4.0	2.0
F121142_TASI_G1	M1	5.0	-1894.891044	0	0	0.004	0.0303	0.1323		
F60625_MLIG_G1	M1	6.0	-867.102123	0	0	0.007	0.007	1.0		
F60625_MLIG_G1	M2	8.0	-865.725154	0	0	0.0133	0.0096	1.3829	0.0	0.0
F29880_SMED_G1	M1	5.0	-211.968143	0	0	0.0	0.0	1.0		
F29880_SMED_G1	M2	7.0	-211.968145	0	0	0.0	0.0	0.9326	0.0	0.0
F116065_MLIG_G1	M1	6.0	-1067.841971	0	0	0.0029	0.0383	0.0762		
F116065_MLIG_G1	M2	8.0	-1067.841968	0	0	0.0029	0.0383	0.0762	0.0	0.0
F81989_MLIG_G1	M1	6.0	-5308.970415	0	0	1.4394	1.8376	0.7833		
F81989_MLIG_G1	M2	8.0	-5292.045453	0	0	2.5925	0.8166	3.1747	180.0	8.0
F31943_MLIG_G1	M2	7.0	-2103.82858	0	0	16.6667	16.6667	1.0	0.0	0.0
F31943_MLIG_G1	M1	5.0	-2103.241469	0	0	2.5019	5.4078	0.4626		
F37972_SMED_G1	M2	7.0	-632.336417	0	0	1.9815	1.9815	1.0	0.0	0.0
F37972_SMED_G1	M1	5.0	-632.336417	0	0	1.9815	1.9815	1.0		
F109107_MLIG_G1	M1	6.0	-2710.927621	0	0	0.0	0.0	0.5286		
F109107_MLIG_G1	M2	8.0	-2710.92762	0	0	0.0	0.0	0.5286	0.0	0.0
F36867_MLIG_G1	M1	6.0	-5242.343644	0	0	0.0014	0.027	0.0501		
F36867_MLIG_G1	M2	8.0	-5242.305505	0	0	0.0008	0.0135	0.0589	0.0	0.0
F94612_SMED_G1	M2	7.0	-347.85663	0	0	0.0	0.0	140.1888	0.0	0.0
F94612_SMED_G1	M1	5.0	-347.93733	0	0	0.0	0.0	1.0		
F85482_SCUR_G1	M1	5.0	-443.04906	0	0	0.0	0.0	1.0		
F85482_SCUR_G1	M2	7.0	-442.916378	0	0	0.0	0.0	999.0	0.0	0.0
F12100_SMED_G1	M2	8.0	-1458.204836	0	0	0.0	0.0	0.6113	0.0	0.0
F12100_SMED_G1	M1	6.0	-1461.44098	0	0	0.0	0.0	0.2431		
F26471_MLIG_G1	M2	9.0	-1946.217356	0	0	0.0021	0.0021	1.0	0.0	0.0
F26471_MLIG_G1	M1	7.0	-1946.217356	0	0	0.0021	0.0021	1.0		
F22774_SMED_G1	M1	5.0	-723.434512	0	0	2.4673	4.3103	0.5724		
F22774_SMED_G1	M2	7.0	-723.421925	0	0	19.169	3.888	4.9303	0.0	0.0
F99331_HDIM_G1	M1	5.0	-378.299999	0	0	0.0	0.0	0.0		
F99331_HDIM_G1	M2	7.0	-378.299959	0	0	0.0	0.0	0.0	0.0	0.0
F76486_SMED_G1	M1	6.0	-1558.433728	0	0	0.0251	0.4241	0.0592		
F76486_SMED_G1	M2	8.0	-1556.895187	0	0	1.5684	0.4104	3.8217	0.0	0.0
F99252_HDIM_G1	M1	5.0	-212.629831	0	0	2.0171	4.3202	0.4669		
F99252_HDIM_G1	M2	7.0	-212.629831	0	0	2.0171	4.3202	0.4669	0.0	0.0
F120306_SMED_G1	M2	7.0	-595.858369	0	0	0.0	0.0	0.1146	0.0	0.0
F120306_SMED_G1	M1	5.0	-595.858369	0	0	0.0021	0.0186	0.1146		
F110221_MLIG_G1	M1	6.0	-1674.903071	0	0	0.0	0.0	0.076		
F110221_MLIG_G1	M2	8.0	-1674.903055	0	0	0.0	0.0	0.076	0.0	0.0
F99130_SMED_G1	M2	7.0	-659.434247	0	0	0.0	0.0	998.9987	0.0	0.0
F99130_SMED_G1	M1	5.0	-659.711549	0	0	0.0002	0.0002	1.0		
F47253_MLIG_G1	M1	5.0	-1587.30444	0	0	0.0077	0.0331	0.2332		
F47253_MLIG_G1	M2	7.0	-1587.304432	0	0	0.0089	0.0383	0.2332	0.0	0.0
F105820_MLIG_G1	M2	8.0	-334.213836	0	0	0.0	0.0141	0.0	0.0	0.0
F105820_MLIG_G1	M1	6.0	-334.212938	0	0	0.0	0.0141	0.0		
F23815_MLIG_G1	M2	8.0	-3041.9618	0	0	0.0012	0.0131	0.092	0.0	0.0
F23815_MLIG_G1	M1	6.0	-3041.961803	0	0	0.0012	0.0131	0.092		
F3588_MLIG_G1	M2	8.0	-1625.96461	0	0	0.0	0.0	0.2479	0.0	0.0
F3588_MLIG_G1	M1	6.0	-1625.968154	0	0	0.0	0.0	0.2237		
F42713_MLIG_G1	M2	7.0	-977.202009	0	0	0.0013	0.0065	0.2003	0.0	0.0
F42713_MLIG_G1	M1	5.0	-977.20201	0	0	0.0012	0.006	0.2003		
F76593_EGRA_G1	M2	7.0	-774.338249	0	0	0.0	0.0	0.7752	0.0	0.0
F76593_EGRA_G1	M1	5.0	-774.338201	0	0	0.0	0.0	0.0		
F3409_MLIG_G1	M1	6.0	-262.502129	0	0	0.0	0.0	0.1378		
F3409_MLIG_G1	M2	8.0	-262.504797	0	0	0.0	0.0	0.1235	0.0	0.0
F100279_SCUR_G1	M1	12.0	-4220.317004	0	0	0.0	0.0	0.3785		
F100279_SCUR_G1	M2	14.0	-4220.317005	0	0	0.0	0.0	0.3785	0.0	0.0
F87207_SCUR_G1	M2	14.0	-1740.674593	0	0	0.0	0.0	0.4591	0.0	0.0
F87207_SCUR_G1	M1	12.0	-1740.674593	0	0	0.0	0.0	0.4591		
F70451_MLIG_G1	M1	7.0	-1686.994106	0	0	0.0	0.0	0.3896		
F70451_MLIG_G1	M2	9.0	-1678.531978	0	0	0.0	0.0	1.2221	1.0	0.0
F98096_MLIG_G1	M1	5.0	-1806.481425	0	0	0.0	0.0	0.0		
F98096_MLIG_G1	M2	7.0	-1806.481314	0	0	0.0	0.0088	0.0	0.0	0.0
F38999_SHAE_G1	M2	7.0	-218.756209	0	0	11.4019	11.4019	1.0	0.0	0.0
F38999_SHAE_G1	M1	5.0	-218.756209	0	0	16.663	16.663	1.0		
F105964_FHEP_G1	M1	5.0	-404.322354	0	0	2.5506	4.4061	0.5789		
F105964_FHEP_G1	M2	7.0	-404.322354	0	0	2.5506	4.4061	0.5789	0.0	0.0
F56041_MLIG_G1	M2	7.0	-4224.965626	0	0	0.0001	0.0028	0.0354	0.0	0.0
F56041_MLIG_G1	M1	5.0	-4224.965631	0	0	0.0005	0.0155	0.0354		
F36964_MLIG_G1	M1	6.0	-2834.244541	0	0	0.0	0.0	0.4399		
F36964_MLIG_G1	M2	8.0	-2834.244541	0	0	0.0	0.0	0.4399	0.0	0.0
F118665_MLIG_G1	M2	8.0	-412.349168	0	0	0.0	0.0115	0.0	0.0	0.0
F118665_MLIG_G1	M1	6.0	-412.349215	0	0	0.0	0.0115	0.0		
F123480_TASI_G1	M1	5.0	-1817.316267	0	0	0.0	0.0	0.0		
F123480_TASI_G1	M2	7.0	-1817.316024	0	0	0.0	0.0	0.0	0.0	0.0
F95562_HDIM_G2	M2	7.0	-1565.149917	0	0	0.0	0.0	0.0	0.0	0.0
F95562_HDIM_G2	M1	5.0	-1565.149917	0	0	0.0	0.0	0.0		
F16650_TSOL_G1	M1	5.0	-426.735696	0	0	0.0	0.0	0.0		
F16650_TSOL_G1	M2	7.0	-426.735714	0	0	0.0	0.0	1.0	0.0	0.0
F46417_TASI_G1	M2	8.0	-364.883795	0	0	0.0	0.0	709.2328	34.0	33.0
F46417_TASI_G1	M1	6.0	-368.688427	0	0	0.0	0.0	0.7073		
F91501_MLIG_G1	M1	6.0	-2976.956158	0	0	0.0	0.0	0.4439		
F91501_MLIG_G1	M2	8.0	-2905.213993	0	0	0.0	0.0	9.1249	66.0	17.0
F15343_MLIG_G1	M1	18.0	-426.647374	0	0	0.0	0.0	0.0155		
F15343_MLIG_G1	M2	20.0	-425.348599	0	0	0.0	0.0	0.0163	0.0	0.0
F35381_MLIG_G1	M2	7.0	-963.217813	0	0	0.0	0.0	0.0669	0.0	0.0
F35381_MLIG_G1	M1	5.0	-963.217817	0	0	0.0013	0.02	0.0669		
F53239_MLIG_G1	M2	7.0	-217.092835	0	0	0.0	0.0	0.7752	0.0	0.0
F53239_MLIG_G1	M1	5.0	-217.092817	0	0	0.0	0.0	0.0		
F24450_HDIM_G1	M2	14.0	-343.37885	0	0	0.0	0.0	999.0	0.0	0.0
F24450_HDIM_G1	M1	12.0	-343.876972	0	0	0.0	0.0	1.0		
F80199_TREG_G1	M2	7.0	-29.094166	0	0	0.0	0.0	0.7752	0.0	0.0
F80199_TREG_G1	M1	5.0	-29.094156	0	0	0.0	0.0	0.0		
F73073_TSAG_G1	M1	5.0	-340.604626	0	0	0.0	0.0	1.0		
F73073_TSAG_G1	M2	7.0	-340.369489	0	0	0.0	0.0	999.0	0.0	0.0
F99356_SMED_G1	M1	5.0	-549.64145	0	0	0.1985	0.6557	0.3027		
F99356_SMED_G1	M2	7.0	-547.16888	0	0	0.6356	0.4502	1.4118	0.0	0.0
F115148_MLIG_G1	M1	5.0	-3229.072598	0	0	0.0008	0.0215	0.0372		
F115148_MLIG_G1	M2	7.0	-3229.072586	0	0	0.0	0.0	0.0372	0.0	0.0
F55607_MLIG_G1	M2	8.0	-2060.154391	0	0	0.0	0.0	0.1764	0.0	0.0
F55607_MLIG_G1	M1	6.0	-2060.154409	0	0	0.0	0.0	0.1766		
F117997_MLIG_G1	M1	7.0	-3290.566637	0	0	16.6667	16.6667	1.0		
F117997_MLIG_G1	M2	9.0	-3290.566637	0	0	16.6667	16.6667	1.0	0.0	0.0
F73280_SMED_G1	M2	7.0	-172.213905	0	0	0.0	0.0	1.1189	0.0	0.0
F73280_SMED_G1	M1	5.0	-172.213905	0	0	0.0	0.0	1.0		
F112388_MLIG_G1	M2	8.0	-1817.191124	0	0	5.2781	53.7239	0.0982	0.0	0.0
F112388_MLIG_G1	M1	6.0	-1817.199216	0	0	0.0	0.0	0.0954		
F15443_MLIG_G1	M2	7.0	-509.045494	0	0	0.0	0.0	0.7843	0.0	0.0
F15443_MLIG_G1	M1	5.0	-509.289985	0	0	0.0031	0.0112	0.274		
F118249_MLIG_G1	M1	5.0	-2119.489506	0	0	0.0033	0.0372	0.0882		
F118249_MLIG_G1	M2	7.0	-2119.489496	0	0	0.0037	0.0418	0.0881	0.0	0.0
F11377_MLIG_G1	M1	5.0	-7273.714918	0	0	1.6528	10.255	0.1612		
F11377_MLIG_G1	M2	7.0	-7273.714918	0	0	1.6532	10.2578	0.1612	0.0	0.0
F122686_MLIG_G1	M1	6.0	-1811.729865	0	0	0.0109	0.0484	0.2247		
F122686_MLIG_G1	M2	8.0	-1811.729854	0	0	0.0109	0.0484	0.2247	0.0	0.0
F19489_EMUL_G1	M1	20.0	-327.982735	0	0	0.0	0.0	1.0		
F19489_EMUL_G1	M2	22.0	-327.531238	0	0	0.0	0.0	3.1239	0.0	0.0
F24353_MLIG_G1	M2	8.0	-2549.75985	0	0	0.0	0.0	0.1629	0.0	0.0
F24353_MLIG_G1	M1	6.0	-2549.758793	0	0	0.0	0.0	0.1623		
F75689_SMED_G1	M1	18.0	-461.615668	0	0	0.0	0.0	0.5942		
F75689_SMED_G1	M2	20.0	-461.152166	0	0	0.0	0.0	0.6325	0.0	0.0
F118896_MLIG_G1	M2	8.0	-1941.733639	0	0	0.0	0.0	0.2931	0.0	0.0
F118896_MLIG_G1	M1	6.0	-1942.415616	0	0	0.0	0.0	0.2226		
F97448_MLIG_G1	M2	7.0	-3049.795527	0	0	0.0	0.0	0.0	0.0	0.0
F97448_MLIG_G1	M1	5.0	-3049.795527	0	0	0.0	0.0	0.0		
F51422_SCUR_G1	M2	7.0	-878.826449	0	0	0.0	0.0	0.0	0.0	0.0
F51422_SCUR_G1	M1	5.0	-878.826809	0	0	0.0	0.0	0.0962		
F113826_SMED_G1	M1	22.0	-598.484116	0	0	0.0	0.0	0.6537		
F113826_SMED_G1	M2	24.0	-597.406087	0	0	0.0	0.0	0.7944	0.0	0.0
F33227_TREG_G1	M2	7.0	-444.688652	0	0	16.4151	0.0791	207.507	16.0	8.0
F33227_TREG_G1	M1	5.0	-452.3282	0	0	0.4029	0.5596	0.7199		
F78462_SMED_G1	M2	7.0	-1651.463163	0	0	0.0011	0.0159	0.071	0.0	0.0
F78462_SMED_G1	M1	5.0	-1651.463164	0	0	0.0009	0.0121	0.071		
F54054_MLIG_G1	M2	7.0	-781.81665	0	0	0.0	0.0	1.1834	0.0	0.0
F54054_MLIG_G1	M1	5.0	-781.816652	0	0	0.0	0.0	1.0		
F64677_MLIG_G1	M2	8.0	-2117.327961	0	0	0.0	0.0	0.0253	0.0	0.0
F64677_MLIG_G1	M1	6.0	-2117.327974	0	0	0.0	0.0	0.0253		
F38809_SMAR_G1	M2	7.0	-2575.827177	0	0	0.0	0.0	998.9663	0.0	0.0
